time		Object_id		Object_cap

[0:1]		1		a senior lady is sporting a white top with sleeves that end above the elbow, along with black shorts and a bag.

[0:1]		2		a male adult is wearing black long sleeve top, black long pants and a bag.

[0:1]		3		a senior female is donning a red top with long sleeves, paired with black pants and carrying a bag.

[0:1]		4		a female adult is wearing black long sleeve top, black long pants and a bag.

[0:1]		5		a mature woman is dressed in a black top with short sleeves, black pants, and is carrying a bag.

[0:34]		18		a woman who is fully grown is dressed in a long - sleeved gray top and long pants.

[0:35]		19		a man of advanced age is sporting a short - sleeved top in the color gray, along with long pants in black.

[1:49]		21		a senior gentleman is sporting a brown shirt with short sleeves, black pants, and is carrying an umbrella.

[2:2]		22		a senior woman is dressed in a gray top with long sleeves, paired with white pants and carrying a bag.

[2:25]		28		a man of advanced age is sporting a yellow top with short sleeves, black shorts, and a hat.

[2:29]		34		a male senior is wearing red short sleeve top, black long pants and a bag.

[2:30]		35		a woman who is fully grown is dressed in a black top with short sleeves and black pants that reach down to her ankles.

[2:30]		36		a male senior is wearing red short sleeve top, black long pants and a bag.

time		Object_id		Object_cap

[0:1]		1		a man in his senior years is dressed in a white top with short sleeves and black shorts.

[0:1]		2		a male adult is wearing black long sleeve top, black long pants and a bag.

[0:1]		3		a senior gentleman is sporting a purple top with long sleeves and black pants.

[0:1]		4		a male senior is wearing black long sleeve top, black long pants and an umbrella.

[0:1]		5		a male senior is wearing black short sleeve top and black long pants.

[0:34]		18		a woman of advanced age is dressed in a long - sleeved top in the color gray, paired with long pants in a shade of black, and carrying a bag.

[0:35]		19		a grown man is sporting a long - sleeved top in a shade of gray, paired with long pants in a shade of purple.

[1:49]		22		a male adult is wearing black short sleeve top and black long pants.

[2:2]		23		a senior woman is dressed in a black long - sleeved shirt and black trousers.

[2:25]		29		a hat - wearing senior man is dressed in a green short - sleeved shirt and black trousers.

[2:29]		35		a senior woman is dressed in a red top with short sleeves, black pants that reach her ankles, and carrying a bag.

[2:30]		36		a grown man is sporting a black top with short sleeves and black pants that reach his ankles.

[2:30]		37		a senior gentleman is sporting a purple top with short sleeves, along with black pants and a bag.

